iter	Passed	Remaining
810	73198	89264
811	73282	89166
812	73363	89065
813	73448	88967
814	73537	88876
815	73619	88776
816	73709	88686
817	73788	88581
818	73866	88477
819	73961	88393
820	74041	88290
821	74138	88208
822	74216	88104
823	74307	88014
824	74392	87918
825	74477	87822
826	74568	87733
827	74651	87634
828	74741	87544
829	74823	87444
830	74923	87365
831	75004	87264
832	75093	87172
833	75179	87078
834	75267	86985
835	75358	86896
836	75450	86808
837	75535	86712
838	75624	86621
839	75711	86526
840	75796	86431
841	75876	86329
842	75964	86237
843	76051	86143
844	76139	86050
845	76228	85960
846	76317	85868
847	76412	85783
848	76499	85689
849	76592	85603
850	76678	85508
851	76763	85412
852	76852	85321
853	76939	85228
854	77032	85141
855	77116	85044
856	77219	84968
857	77307	84876
858	77393	84781
859	77489	84697
860	77577	84604
861	77676	84524
862	77761	84429
863	77841	84328
864	77927	84233
865	78007	84132
866	78095	84040
867	78189	83954
868	78278	83863
869	78369	83774
870	78448	83672
871	78542	83586
872	78631	83495
873	78732	83417
874	78831	83336
875	78925	83250
876	79012	83156
877	79098	83062
878	79189	82973
879	79276	82879
880	79382	82806
881	79469	82712
882	79559	82622
883	79651	82535
884	79733	82436
885	79832	82355
886	79911	82253
887	80002	82164
888	80095	82077
889	80187	81989
890	80295	81917
891	80385	81827
892	80477	81739
893	80560	81641
894	80648	81549
895	80746	81467
896	80837	81378
897	80926	81287
898	81024	81204
899	81124	81124
900	81212	81032
901	81312	80951
902	81399	80858
903	81490	80769
904	81582	80680
905	81665	80583
906	81762	80500
907	81853	80411
908	81936	80313
909	82017	80215
910	82105	80122
911	82192	80029
912	82283	79940
913	82367	79844
914	82463	79759
915	82555	79671
916	82644	79580
917	82736	79491
918	82835	79410
919	82933	79327
920	83028	79242
921	83120	79153
922	83209	79063
923	83294	78967
924	83374	78867
925	83451	78765
926	83538	78672
927	83626	78580
928	83709	78483
929	83805	78399
930	83895	78308
931	83971	78205
932	84055	78109
933	84135	78009
934	84229	77923
935	84324	77837
936	84408	77741
937	84508	77661
938	84600	77572
939	84699	77491
940	84784	77395
941	84867	77299
942	84969	77220
943	85052	77123
944	85150	77040
945	85240	76950
946	85326	76856
947	85422	76771
948	85503	76674
949	85606	76595
950	85693	76502
951	85780	76409
952	85872	76320
953	85960	76228
954	86042	76132
955	86119	76029
956	86216	75945
957	86317	75865
958	86411	75779
959	86498	75685
960	86585	75593
961	86674	75501
962	86761	75409
963	86844	75313
964	86928	75218
965	87010	75121
966	87089	75021
967	87183	74934
968	87272	74843
969	87362	74753
970	87447	74659
971	87538	74570
972	87632	74482
973	87709	74382
974	87802	74294
975	87888	74200
976	87975	74108
977	88078	74029
978	88164	73935
979	88246	73839
980	88351	73761
981	88430	73662
982	88524	73575
983	88611	73482
984	88702	73393
985	88797	73307
986	88885	73215
987	88977	73127
988	89067	73037
989	89154	72944
990	89241	72851
991	89328	72759
992	89412	72664
993	89521	72589
994	89600	72491
995	89690	72401
996	89774	72305
997	89861	72213
998	89950	72122
999	90044	72035
1000	90135	71946
1001	90227	71857
1002	90308	71760
1003	90397	71669
1004	90484	71577
1005	90577	71489
1006	90664	71396
1007	90751	71304
1008	90839	71212
1009	90929	71123
1010	91017	71031
1011	91101	70936
1012	91192	70847
1013	91274	70751
1014	91358	70656
1015	91448	70566
1016	91546	70482
1017	91639	70394
1018	91736	70310
1019	91824	70218
1020	91918	70132
1021	92004	70038
1022	92100	69953
1023	92191	69863
1024	92281	69773
1025	92359	69674
1026	92443	69580
1027	92543	69497
1028	92625	69401
1029	92719	69314
1030	92814	69228
1031	92901	69135
1032	92999	69052
1033	93101	68970
1034	93180	68872
1035	93263	68777
1036	93352	68686
1037	93443	68597
1038	93543	68514
1039	93624	68418
1040	93719	68331
1041	93812	68243
1042	93897	68149
1043	93986	68059
1044	94069	67963
1045	94154	67870
1046	94255	67788
1047	94349	67700
1048	94437	67609
1049	94531	67522
1050	94612	67426
1051	94703	67336
1052	94788	67243
1053	94870	67147
1054	94978	67070
1055	95077	66986
1056	95171	66899
1057	95264	66810
1058	95345	66714
1059	95427	66619
1060	95527	66535
1061	95616	66445
1062	95709	66357
1063	95794	66263
1064	95877	66168
1065	95975	66084
1066	96070	65997
1067	96157	65905
1068	96237	65808
1069	96334	65723
1070	96421	65631
1071	96515	65544
1072	96607	65455
1073	96692	65361
1074	96780	65270
1075	96867	65178
1076	96967	65095
1077	97052	65001
1078	97133	64905
1079	97215	64810
1080	97299	64716
1081	97385	64623
1082	97469	64529
1083	97561	64440
1084	97641	64344
1085	97735	64257
1086	97826	64167
1087	97913	64075
1088	97995	63980
1089	98072	63882
1090	98164	63793
1091	98249	63700
1092	98336	63608
1093	98425	63517
1094	98514	63427
1095	98597	63332
1096	98690	63244
1097	98778	63153
1098	98858	63057
1099	98943	62963
1100	99027	62870
1101	99129	62788
1102	99225	62701
1103	99307	62607
1104	99401	62519
1105	99487	62427
1106	99581	62339
1107	99664	62245
1108	99749	62152
1109	99829	62056
1110	99913	61962
1111	99992	61865
1112	100072	61769
1113	100167	61682
1114	100255	61592
1115	100336	61496
1116	100422	61404
1117	100512	61314
1118	100603	61225
1119	100709	61145
1120	100798	61054
1121	100878	60958
1122	100967	60868
1123	101057	60778
1124	101144	60686
1125	101231	60594
1126	101322	60505
1127	101421	60421
1128	101505	60328
1129	101604	60243
1130	101688	60150
1131	101774	60057
1132	101863	59967
1133	101942	59871
1134	102040	59785
1135	102128	59695
1136	102211	59600
1137	102301	59511
1138	102400	59426
1139	102491	59337
1140	102579	59246
1141	102678	59161
1142	102764	59069
1143	102847	58975
1144	102933	58883
1145	103017	58790
1146	103101	58696
1147	103183	58602
1148	103279	58516
1149	103365	58423
1150	103443	58327
1151	103527	58234
1152	103610	58140
1153	103691	58045
1154	103768	57948
1155	103844	57851
1156	103939	57763
1157	104018	57668
1158	104106	57577
1159	104183	57480
1160	104262	57384
1161	104349	57293
1162	104449	57209
1163	104533	57116
1164	104618	57023
1165	104705	56932
1166	104787	56838
1167	104873	56746
1168	104959	56654
1169	105038	56559
1170	105131	56471
1171	105212	56376
1172	105298	56284
1173	105398	56200
1174	105479	56106
1175	105561	56012
1176	105649	55921
1177	105739	55832
1178	105821	55738
1179	105900	55642
1180	105983	55549
1181	106075	55460
1182	106164	55370
1183	106245	55276
1184	106329	55183
1185	106416	55092
1186	106497	54998
1187	106580	54905
1188	106668	54814
1189	106752	54722
1190	106837	54629
1191	106924	54538
1192	107014	54448
1193	107105	54360
1194	107188	54266
1195	107262	54169
1196	107341	54074
1197	107423	53980
1198	107506	53887
1199	107582	53791
1200	107659	53695
1201	107756	53609
1202	107847	53520
1203	107929	53426
1204	108012	53333
1205	108095	53241
1206	108182	53149
1207	108262	53055
1208	108343	52962
1209	108430	52871
1210	108519	52780
1211	108623	52698
1212	108709	52607
1213	108787	52511
1214	108865	52416
1215	108945	52322
1216	109031	52230
1217	109114	52138
1218	109199	52046
1219	109298	51961
1220	109385	51870
1221	109469	51778
1222	109559	51689
1223	109641	51596
1224	109734	51508
1225	109816	51414
1226	109897	51321
1227	109972	51225
1228	110057	51133
1229	110143	51042
1230	110226	50949
1231	110311	50857
1232	110403	50769
1233	110488	50677
1234	110570	50584
1235	110658	50494
1236	110737	50400
1237	110823	50309
1238	110903	50215
1239	111000	50129
1240	111081	50035
1241	111173	49947
1242	111247	49851
1243	111330	49758
1244	111413	49666
1245	111497	49574
1246	111585	49484
1247	111670	49392
1248	111754	49300
1249	111854	49215
1250	111935	49122
1251	112017	49029
1252	112100	48937
1253	112191	48848
1254	112270	48754
1255	112361	48666
1256	112441	48572
1257	112522	48479
1258	112602	48386
1259	112688	48295
1260	112774	48204
1261	112866	48115
1262	112948	48023
1263	113035	47932
1264	113131	47845
1265	113221	47756
1266	113313	47668
1267	113394	47575
1268	113480	47484
1269	113568	47394
1270	113678	47313
1271	113767	47224
1272	113848	47131
1273	113933	47040
1274	114012	46946
1275	114098	46855
1276	114177	46761
1277	114284	46679
1278	114373	46590
1279	114468	46502
1280	114564	46416
1281	114649	46324
1282	114732	46232
1283	114812	46139
1284	114893	46046
1285	114979	45955
1286	115062	45864
1287	115144	45771
1288	115231	45681
1289	115319	45591
1290	115396	45497
1291	115477	45404
1292	115572	45317
1293	115659	45226
1294	115736	45132
1295	115822	45042
1296	115906	44950
1297	115999	44862
1298	116079	44769
1299	116163	44678
1300	116257	44590
1301	116334	44496
1302	116418	44405
1303	116501	44313
1304	116588	44223
1305	116675	44132
1306	116769	44045
1307	116850	43953
1308	116934	43861
1309	117022	43771
1310	117110	43681
1311	117200	43592
1312	117289	43503
1313	117370	43410
1314	117454	43319
1315	117527	43224
1316	117618	43135
1317	117693	43040
1318	117773	42948
1319	117869	42861
1320	117953	42770
1321	118045	42681
1322	118131	42591
1323	118223	42503
1324	118311	42413
1325	118398	42323
1326	118482	42232
1327	118577	42144
1328	118659	42053
1329	118765	41969
1330	118851	41879
1331	118938	41789
1332	119035	41702
1333	119119	41611
1334	119210	41522
1335	119295	41431
1336	119379	41340
1337	119469	41251
1338	119552	41160
1339	119645	41072
1340	119736	40983
1341	119823	40893
1342	119904	40801
1343	119993	40712
1344	120075	40620
1345	120166	40531
1346	120246	40439
1347	120331	40348
1348	120414	40257
1349	120500	40166
1350	120588	40077
1351	120683	39989
1352	120765	39898
1353	120853	39808
1354	120941	39718
1355	121026	39628
1356	121109	39536
1357	121190	39444
1358	121273	39353
1359	121358	39263
1360	121441	39171
1361	121529	39082
1362	121612	38990
1363	121694	38899
1364	121778	38808
1365	121866	38718
1366	121955	38629
1367	122039	38538
1368	122124	38448
1369	122210	38358
1370	122308	38271
1371	122388	38179
1372	122468	38087
1373	122560	37998
1374	122639	37906
1375	122721	37815
1376	122801	37723
1377	122889	37633
1378	122976	37543
1379	123059	37452
1380	123145	37362
1381	123230	37272
1382	123323	37184
1383	123403	37092
1384	123478	36999
1385	123568	36909
1386	123651	36819
1387	123731	36727
1388	123811	36635
1389	123902	36546
1390	123991	36457
1391	124082	36369
1392	124178	36281
1393	124259	36190
1394	124360	36104
1395	124437	36011
1396	124518	35920
1397	124611	35832
1398	124696	35742
1399	124783	35652
1400	124866	35561
1401	124951	35471
1402	125031	35379
1403	125118	35289
1404	125210	35201
1405	125297	35111
1406	125391	35023
1407	125474	34933
1408	125558	34842
1409	125640	34751
1410	125725	34661
1411	125811	34571
1412	125900	34482
1413	125994	34394
1414	126075	34303
1415	126164	34214
1416	126243	34122
1417	126332	34033
1418	126415	33942
1419	126506	33853
1420	126587	33762
1421	126675	33673
1422	126768	33585
1423	126851	33494
1424	126953	33408
1425	127039	33318
1426	127126	33229
1427	127218	33141
1428	127310	33052
1429	127392	32961
1430	127474	32870
1431	127567	32782
1432	127658	32694
1433	127750	32605
1434	127840	32516
1435	127931	32428
1436	128017	32338
1437	128107	32249
1438	128186	32157
1439	128272	32068
1440	128366	31980
1441	128460	31892
1442	128541	31801
1443	128629	31711
1444	128719	31623
1445	128816	31536
1446	128902	31446
1447	128981	31354
1448	129071	31265
1449	129164	31177
1450	129246	31086
1451	129329	30996
1452	129419	30907
1453	129501	30816
1454	129578	30724
1455	129664	30634
1456	129746	30544
1457	129838	30455
1458	129923	30366
1459	130009	30276
1460	130105	30188
1461	130198	30100
1462	130282	30010
1463	130374	29921
1464	130454	29830
1465	130536	29740
1466	130623	29650
1467	130717	29562
1468	130808	29474
1469	130886	29382
1470	130968	29291
1471	131049	29201
1472	131128	29109
1473	131222	29021
1474	131300	28930
1475	131390	28841
1476	131482	28753
1477	131568	28663
1478	131650	28573
1479	131729	28481
1480	131809	28391
1481	131892	28300
1482	131980	28211
1483	132077	28124
1484	132164	28034
1485	132258	27946
1486	132342	27856
1487	132432	27768
1488	132548	27684
1489	132630	27594
1490	132731	27507
1491	132836	27422
1492	132915	27330
1493	132996	27240
1494	133086	27151
1495	133174	27062
1496	133262	26972
1497	133343	26882
1498	133425	26791
1499	133514	26702
1500	133599	26613
1501	133690	26524
1502	133782	26436
1503	133866	26346
1504	133944	26254
1505	134027	26164
1506	134105	26073
1507	134190	25983
1508	134289	25896
1509	134375	25807
1510	134461	25717
1511	134566	25631
1512	134646	25541
1513	134732	25451
1514	134820	25362
1515	134903	25272
1516	134987	25182
1517	135080	25093
1518	135166	25004
1519	135252	24914
1520	135335	24824
1521	135409	24733
1522	135487	24642
1523	135570	24552
1524	135660	24463
1525	135744	24373
1526	135829	24283
1527	135918	24194
1528	136008	24106
1529	136095	24016
1530	136179	23927
1531	136264	23837
1532	136342	23746
1533	136422	23656
1534	136504	23565
1535	136578	23474
1536	136662	23384
1537	136749	23295
1538	136839	23206
1539	136920	23116
1540	137006	23027
1541	137084	22936
1542	137173	22847
1543	137255	22757
1544	137331	22666
1545	137411	22576
1546	137503	22487
1547	137593	22398
1548	137679	22309
1549	137760	22219
1550	137844	22129
1551	137926	22039
1552	138016	21951
1553	138103	21861
1554	138187	21772
1555	138271	21682
1556	138352	21592
1557	138431	21502
1558	138522	21413
1559	138611	21324
1560	138695	21235
1561	138789	21147
1562	138872	21057
1563	138967	20969
1564	139056	20880
1565	139142	20791
1566	139231	20702
1567	139320	20613
1568	139402	20523
1569	139484	20434
1570	139573	20345
1571	139665	20256
1572	139762	20169
1573	139850	20080
1574	139938	19991
1575	140022	19901
1576	140125	19814
1577	140214	19726
1578	140301	19636
1579	140395	19548
1580	140475	19458
1581	140556	19368
1582	140636	19278
1583	140718	19188
1584	140831	19103
1585	140915	19013
1586	141001	18924
1587	141090	18835
1588	141177	18746
1589	141264	18657
1590	141349	18568
1591	141437	18479
1592	141537	18391
1593	141624	18302
1594	141708	18213
1595	141799	18124
1596	141879	18034
1597	141959	17944
1598	142048	17856
1599	142132	17766
1600	142212	17676
1601	142298	17587
1602	142383	17498
1603	142470	17409
1604	142548	17318
1605	142632	17229
1606	142719	17140
1607	142810	17052
1608	142895	16962
1609	142971	16872
1610	143055	16783
1611	143143	16694
1612	143232	16605
1613	143318	16516
1614	143402	16426
1615	143484	16337
1616	143574	16248
1617	143660	16159
1618	143743	16070
1619	143829	15981
1620	143915	15891
1621	143999	15802
1622	144095	15714
1623	144179	15625
1624	144259	15535
1625	144342	15446
1626	144426	15356
1627	144515	15268
1628	144599	15178
1629	144679	15089
1630	144763	14999
1631	144849	14910
1632	144951	14823
1633	145034	14734
1634	145118	14644
1635	145200	14555
1636	145281	14466
1637	145357	14376
1638	145444	14287
1639	145529	14198
1640	145609	14108
1641	145689	14018
1642	145771	13929
1643	145847	13839
1644	145923	13749
1645	145999	13659
1646	146085	13570
1647	146167	13481
1648	146253	13392
1649	146337	13303
1650	146418	13214
1651	146518	13126
1652	146606	13037
1653	146694	12948
1654	146779	12859
1655	146868	12771
1656	146959	12682
1657	147048	12594
1658	147122	12504
1659	147200	12414
1660	147287	12325
1661	147373	12236
